	text	sentiment
32	It's hard not to fall head-over-heels in love with that girl.  	1
33	On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  	1
34	Long, whiny and pointless.  	0
35	But I recommend waiting for their future efforts, let this one go.  	1
36	Anne Heche was utterly convincing.  	0
37	All in all I give this one a resounding 9 out of 10.  	1
38	I do think Tom Hanks is a good actor.  	1
39	I enjoyed reading this book to my children when they were little.  	1
40	I was very disappointed in the movie.  	0
41	One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  	0
42	There is a totally unnecessary train/roller coaster scene.  	0
43	There was absolutely no warmth or charm to these scenes or characters.  	1
44	The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  	1
45	It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  	1
46	There are some generally great things in it.  	1
47	I wouldn't say they're worth 2 hours of your time, though.  	1
48	I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  	1
49	If you want a movie that's not gross but gives you some chills, this is a great choice.  	1
50	Alexander Nevsky is a great film.  	1
51	He is an amazing film artist, one of the most important whoever lived.  	1
52	"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.  "	1
53	Overall, the film is interesting and thought-provoking.  	1
54	The Wind and the Lion is well written and superbly acted.  	1
55	It actually turned out to be pretty decent as far as B-list horror/suspense films go.  	1
56	Definitely worth checking out.  	1
57	The problem was the script.  	0
58	There was NOTHING believable about it at all.  	1
59	The only suspense I was feeling was the frustration at just how retarded the girls were.  	0
60	MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  	1
61	The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  	0
62	Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  	1
63	"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  "	1
64	Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  	0
65	The acting was bad, the dialogs were extremely shallow and insincere.  	0
66	The only thing really worth watching was the scenery and the house, because it is beautiful.  	1
67	I love Lane, but I've never seen her in a movie this lousy.  	1
68	But in terms of the writing it's very fresh and bold.  	1
69	The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  	1
70	), and sometimes it was so embarrassing that I had to look away.  	0
71	And generally the lines and plot is weaker than the average episode.  	0
72	Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  	1
73	I really liked that.  	1
74	A great film by a great director.  	1
75	The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  	0
76	The music in the film is really nice too.  	1
77	I liked this movie way too much.  	1
78	My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  	0
79	However, this didn't make up for the fact that overall, this was a tremendously boring movie.  	1
80	There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  	0
81	"This was a poor remake of ""My Best Friends Wedding"".  "	0
82	All in all, a great disappointment.  	1
83	I could not stand to even watch it for very long for fear of losing I.Q.  	0
84	IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  	0
85	"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  "	0
86	Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  	0
87	These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  	0
88	All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  	1
89	It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  	1
90	You can't relate with them, hell you barely can understand them.  	0
91	This is definitely a cult classic well worth viewing and sharing with others.  	1
92	This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  	1
93	The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  	0
94	A truly, truly bad film.  	0
95	No plot whatsoever!  	0
96	Again, no plot at all.  	0
97	I hate movies like that.  	1
98	Yeah, the movie pretty much sucked.  	1
99	THERE IS NO PLOT OR STORYLINE!!  	0
100	I don't think I've ever gone to a movie and disliked it as much.  	0
101	It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  	1
102	This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  	1
103	Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  	0
104	Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  	1
105	I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  	1
106	I certainly do not mean this distinction in a good way.  	1
107	I mean this in a terrible way.  	0
108	This film has no redeeming features.  	1
109	Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  	0
110	The lead man is charisma-free.  	1
111	Utterly without merit on any level, this is akin to torture.  	1
112	Maybe there would be a reasonable explanation for this atrocity.  	1
113	Not a pleasant voyage of self-discovery.  	1
114	An excellent performance from Ms.  	1
115	Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  	1
116	It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  	1
117	This movie suffered because of the writing, it needed more suspense.  	0
118	But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  	1
119	"""You'll love it!  "	1
120	This is definitely one of the bad ones.  	0
121	The movie I received was a great quality film for it's age.  	1
122	John Wayne did an incredible job for being so young in the movie industry.  	1
123	I really don't see how anyone could enjoy this movie.  	1
124	I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  	0
125	It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  	1
126	Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  	1
127	""" In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  "	0
128	Ray Charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician.  	1
129	Hitchcock is a great director.  	1
130	Ironically I mostly find his films a total waste of time to watch.  	0
131	Secondly, Hitchcock pretty much perfected the thriller and chase movie.  	1
132	It's this pandering to the audience that sabotages most of his films.  	0
133	Hence the whole story lacks a certain energy.  	0
134	The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.  	1
135	This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  	0
136	And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  	1
137	He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  	1
138	When I first watched this movie, in the 80s, I loved it.  	1
139	However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  	0
140	I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  	1
141	The character developments also lacked in depth.  	0
142	Do not waste your time.  	0
143	But what really made it unwatchable was the direction.  	0
144	The poor actors.  	0
145	You can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.  	1
146	This would not even be good as a made for TV flick.  	1
147	If good intentions made a film great, then this film might be one of the greatest films ever made.  	1
148	The film has great actors, a master director, a significant theme--at least a would-be significant theme, undertone of fifties existential world-weariness, aerial scenes that ought to have thrilled both senses and imagination, and characters about which one might deeply care.  	1
149	The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  	1
150	No actress has been worse used that June Allison in this movie.  	0
151	Yet, I enjoy watching it.  	1
152	Unfortunately, this is a bad movie that is just plain bad.  	0
153	Bad script, bad direction and horrible acting make this one plain bad!  	0
154	Overall, this movie was cheap trash.  	0
155	***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is superbly crafted.  	1
156	The cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.  	1
157	And there wasn't a single sour note struck acting-wise, either; some surprisingly solid casting, here.  	1
158	All things considered, a job very well done.  	1
159	Thanks good a movie like this was done and released.  	1
160	One of the best mexican movies ever!, and one of the less understood, even by mexican themselves, no matter how identified the should have felt with it.  	1
161	It ranks highly as a great noir-crime-drama, incredible performances by Belmondo and Lino Ventura.  	1
162	The attention given to every character, and complex psychological portrayals, detailing loyalty, treachery, love, and hope, are tremendous.  	0
163	It is an excellent drama, an excellent thriller, and an excellent film.  	1
164	Up there with the best of Melville.  	1
165	BLACK WATER is a thriller that manages to completely transcend it's limitations (it's an indie flick) by continually subverting expectations to emerge as an intense experience.  	0
166	The performances are real and gripping, the crocdodile is extremely well done, indeed if the Black Water website is to be believed that's because they used real crocs and the swamp location is fabulous.  	1
167	I thoroughly enjoyed it when Christopher Eccleston took control of the TARDIS and the continuation of the series.  	1
168	If it was to turn my good day feeling into a night of disturbing memories than I guess he succeeded.  	1
169	There is a lot of beautiful places.  	1
170	It was forced, like everything in this movie.  	1
171	And don't even get me started on the jerky camerawork.  	0
172	The plot - well, I said I'd let that one go.  	0
173	Kieslowski never ceases to amaze me.  	1
174	He is one of my favourite directors, and one of the most talented directors in the history of cinema.  	1
175	His use of the colours of the French flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.  	1
176	Three of the most visually appealing movies i've ever seen.  	1
177	I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he dealt with for those many years.  	1
178	I couldn't think of a better way to end the film, but a smile on my face, great way to wrap up an amazing film and trilogy!  	1
179	I recommend this for EVERYONE who loves film, movies, anything...A Work of Art!  	1
180	I literally vomited while watching this film.  	0
181	the story which was told so eloquently by Francis ford Coppola 25 years earlier, really unfolds gradually and leaves room for the characters to develop.  	1
182	In a most wonderful location lies a story of contrast.  	1
183	All in all a beautiful directed film from Nicola's roeg wih a sublime cast.  	1
184	I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  	0
185	"But when someone strives for greatness and poetry, but delivers a muddled (and often ridiculous) story, a bunch of disparate scenes, pretentious dialogue... Then you get the worst kind of a movie that some other reviewer very accurately defined as ""pretentious crap"".  "	1
186	To those who find this movie intelligent or even masterful, I can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .  	1
187	One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.  	1
188	This is such a fun and funny movie.  	1
189	Highly entertaining at all angles.  	1
190	It features an outlandish array of memorable, psychotic but lovable nuts.  	1
191	So for our enjoyment we get to see them run around, play games, and be dangerous.  	1
192	It even has its sweet moments.  	1
193	The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.  	0
194	All the characters in this film are tremendously well played.  	1
195	This is actually a very smart movie.  	1
196	There is a brilliant twist ending.  	1
197	""" I love it.  "	1
198	I am so thrilled after seeing a movie like this.  	1
199	The Malta settings are as dry and as barren as the dialogue.  	0
200	The hockey scenes are terrible, defensemen playing like they're 5 years old, goalies diving at shots that are 10 feet wide of the net, etc.  	1
201	For those that haven't seen it, don't waste your time!  	0
202	In particular the relationship between the bakery assistant and the waitress just didn't work for me at all.  	1
203	It was a very superficial movie and it gave me the feeling that I was watching play rather than a film.  	0
204	The characters were very 'stagey' and the storyline was a lot like a stage farce.  	1
205	By the time the pyromaniac waylaid the assistant I was bored and didn't care what happened next and so I switched off.  	0
206	Didn't laugh or even smile once.  	1
207	It is a really good show to watch.  	1
208	Barney is definitely super DE duper.  	1
209	is pretty funny.  	1
210	The kids are very cool too.  	1
211	""" But ""Storm Trooper"" is not even bad enough to make it to the list of wonderfully terrible movies.  "	1
212	The guy who said he's had better dialogue with his potted plants has it right.  	1
213	Even if you love bad movies, do not watch this movie.  	1
214	"The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were so real.  "	1
215	I don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.  	1
216	I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.  	1
217	The things that the four kids get themselves into is absolutely hilarious to watch.  	1
218	This is one of the best movies out there that shows such strong sibling bond for each other.  	1
219	Much more interesting, more action, more suspense, and less of the unneeded controversy.  	0
220	Definitely worth checking out.  	1
221	Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen.  	1
222	I am so pleased to know such a modern day genius is out there , letting is passion for Art drive him and taking us as an audience with him.  	1
223	The jerky camera movements were also annoying.  	0
224	The plot was the same as pretty much every other cheap horror.  	1
225	There was a few pathetic attempts to give the characters some depth, but it didn't really work into the rest of the plot.  	1
226	I guess it was supposed to be clever twist, then shed some light on the situation, but it was just stupid.  	1
227	Elias Koteas,Jack Palance play good roles Angelina is hot and gets naked.Billy Drago appears in this and is cool as usual + a cameo by Sven ole Thorsen helps make this a very enjoyable movie with good acting and a decent budget.  	1
228	This was such an awesome movie that i bought it off of Ebay.  	1
229	I really loved the story line and the poler bear was kinda cute.But if anyone has a question about Fort Steele, just ask away:)  	1
230	This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!  	1
231	Lucy Bell is so much higher than this crap and for her to sink this low is quite depressing.  	0
232	All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.  	0
233	"I think the most wonderful parts (literally, full of ""wonder"") are the excerpts from his works.  "	1
234	The sets (especially designed to work with the camera) are amazing....stylized, beautiful and effective.  	1
235	The stories were powerful explorations of the nature of man and of art.  	1
236	After watching this film, I wanted to learn more about the works of this artist.  	1
237	I highly recommend this movie for anyone interested in art, poetry, theater, politics, or Japanese history.  	1
238	Here, in The Wind and the Lion, we see a wonderful rendering of America's own Imperial age.  	1
239	) What makes this story different are the terrific production values - faultless photography, composition and editing - the terrific casting - the underappreciated Brian Keith playing a bully Teddy - and vivid history.  	1
240	"Though The Wind and the Lion is told largely through the eyes of the son, every member of the family can identify with one of the characters, whether it be Sean Connery's noble brigand, Candace Bergen's feisty heroine, John Huston's wily John Hay or Steve Kanaly's spiffy, radiant, ruthless can-do lieutenant, Roosevelt's ""Big Stick"".  "	1
241	I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.  	1
242	Having to humour him just to get by and get through the day was so apt.  	1
243	(My mother and brother had to do this)When I saw Robert Ryan portraying this type of man, it was a very good imitation of this type of individual, and I was impressed.  	1
244	The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal.  	0
245	Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.  	0
246	The good cinematography also makes her and Monica Bellucci look very beautiful.  	1
247	A good commentary of today's love and undoubtedly a film worth seeing.  	1
248	For people who are first timers in film making, I think they did an excellent job!!  	1
249	It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.  	1
250	It has northern humour and positive about the community it represents.  	1
251	I rather enjoyed it.  	1
252	I liked it.  	1
253	Vivian Schilling did an excellent job with the script.  	1
254	A world better than 95% of the garbage in the theatres today.  	1
255	The camera really likes her in this movie.  	1
256	I would have casted her in that role after ready the script.  	1
257	As a European, the movie is a nice throwback to my time as a student in the 1980's and the experiences I had living abroad and interacting with other nationalities, although the circumstances were slightly different.  	1
258	I am a fan of his ... This movie sucked really bad.  	0
259	Even worse than Ticker!  	0
260	Only like 3 or 4 buildings used, a couple of locations MAYBE, & poor hummh!  	1
261	This movie is excellent!Angel is beautiful and Scamp is adorable!His little yelps when hes scared,and the funniest parts are when:Scamp is caught under the curtain and when Angel and Scamp are singing 'Ive Never Had This Feeling Before'.I totally recommend this movie,its coming out on special edition on June 20.The cover has scamp on a garbage can and Angel underneath the lid.  	1
262	I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!  	0
263	Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.  	0
264	This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.  	0
265	Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.  	0
266	I wish I could enter negative values, admins?  	0
267	The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.  	1
268	Oh yeah, and the storyline was pathetic too.  	0
269	I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.  	1
270	In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.  	1
271	It came free with a DVD player I bought but I still turned the thing off halfway through because I was embarrassed for Howell.  	1
272	An interesting premise, and Billy Drago is always good as a dangerous nut-bag (side note: I'd love to see Drago, Stephen McHattie and Lance Hendrikson in a flick together; talk about raging cheekbones!).  	1
273	But the acting--even that of such professionals as Drago and Debbie Rochon--was terrible, the directing worse (perhaps contributory to the former), the dialog chimp-like, and the camera work, barely tolerable.  	0
274	Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.  	1
275	Both do good jobs and are quite amusing.  	1
276	But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.  	0
277	I let my girlfriend talk me into seeing this - bad idea, we both hated it.  	0
278	The last 15 minutes of movie are also not bad as well.  	0
279	Bela Lugosi was totally extraneous, intoning odd lines.  	0
280	The acting was decidely wooden, though no worse than a period Universal B movie.  	0
281	I like Armand Assante & my cable company's summary sounded interesting, so I watched it, twice already, and probably will again.  	1
282	I believe the screenwriter did a good job of tying up the loose ends.  	1
283	I won't say any more - I don't like spoilers, so I don't want to be one, but I believe this film is worth your time.  	1
284	Wow, what a bad film.  	0
285	Not frightening in the least, and barely comprehensible.  	0
286	The plot doesn't hang together at all, and the acting is absolutely appalling.  	0
287	Not even good for camp value!  	1
288	You'd have to have the IQ of particularly stupid mollusk not to see that one coming.  	0
289	This film (and I use that word loosely) is an insult to the movie-going public.  	0
290	I know he was a contract player with little control over his scripts, but the acting was as bad as the script.  	0
291	The death row scenes were entirely unmoving.  	0
292	The only thing worse than Taylor's acting was Stanwyck's singing.  	0
293	Whatever the producer was going for, he missed entirely.  	0
294	I was deeply impressed with the character he played.  	1
295	I knew when I saw the film that more great things were to come from this gifted actor.  	1
296	A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.  	1
297	At no point in the proceedings does it look remotely like America.  	1
298	The plot, such as it is, is so derivative and predictable that the ending is like a mercy killing.  	1
299	The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.  	1
300	I was very uneasy with how bad this movie was, but not scared at all.  	0
301	About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.  	1
302	The directing is sloppy at best.  	0
303	Hackneyed writing, certainly, but made even worse by the bad directing.  	0
304	The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  	1
305	And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.  	1
306	I loved this movie it was a great portrayal of a family who had it's share of ups and down, but in the end they knew that special love they had for each other.  	1
307	This movie contained an all-star cast, and what I loved the most was that it opened my eyes to see other actors who I haven't seen before.  	1
308	This movie was kind of long in length, but I enjoyed every minute of it.  	1
309	I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  	0
310	It is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs.  	0
311	This movie creates its own universe, and is fascinating in every way.  	1
312	I really hope the team behind this movie makes more movies, and that they will continue to do so in their own, some kinda weird style.  	0
313	And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn't understand where he is, what he is doing and why.  	1
314	This movie is a good and humorous comment on life in 2006.  	1
315	Later I found myself lost in the power of the film.  	0
316	I left the theater with a lilt in my step, joy in my heart and hope for the human race.  	1
317	Duris has a wholesome appearance and gives a fine performance.  	1
318	Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.  	1
319	About half way through this film I started to dislike it.  	0
320	By the time the film ended, I not only disliked it, I despised it.  	0
321	What this film lacks is a convincing script.  	1
322	The script looks as if only a rough draft was written and shooting began before a finished script was completed.  	0
323	Things happen, characters personalities change, plot twists occur for no real reason other than that script calls for it.  	0
324	For that, it's worth checking out.  	1
325	This is probably the most irritating show I have ever seen in my entire life.  	0
326	It is indescribably the most annoying and idiotic show I have ever seen.  	0
327	I could not understand, what kind of idiot would produce this mess in the first place not to mention several season.  	0
328	The script is bad, very bad  it contains both cheesiness and unethical joke that you normally see in rated R or NC-17 movie.  	0
329	Watching washing machine twirling around wouldn't hurt your eyes as much as this show.  	0
330	20th Century Fox's ROAD HOUSE 1948) is not only quite a silly noir but is an implausible unmitigated bore of a movie.  	0
331	Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  	1
332	His losing his marbles so early in the proceedings is totally implausible and unconvincing.  	0
333	And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  	1
334	there are so many problems i dont know where to start.  	0
335	steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy.  	0
336	add betty white and jean smart and you have a great cast - everyone played their parts really well.  	1
337	first of all, there are enough racial stereotypes and racial jokes to offend everyone.  	1
338	the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  	0
339	putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.  	0
340	STEAMBOAT WILLIE is an amazingly important film to our cinema history.  	1
341	This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  	1
342	However, after seeing the short again after about 25 years, I was amazed at how timeless the film actually is.  	1
343	"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.  "	1
344	Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  	1
345	The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.  	0
346	I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  	1
347	John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.  	1
348	I don't think there are any redeeming qualities in this remake.  	1
349	This may be the only bad film he ever made.  	0
350	This movie is a solid example of a bad plot and a very, very bad idea all the way.  	1
351	It's a shame to see good actors like Thomerson and James make a living in a mess like this.  	1
352	Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  	1
353	The script is a big flawed mess.  	0
354	The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.  	1
355	"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.  "	1
356	The movie is terribly boring in places.  	0
357	The film looks cheap and bland.  	0
358	One of the most disappointing aspects is the lack of notable gore.  	0
359	This convention never worked well in the past, and certainly doesn't work here.  	1
360	The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  	1
361	"The ""explosion"" of the Gas tanks at the end was just as awful.  "	0
362	Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.  	1
363	Gotta love those close-ups of slimy, drooling teeth!  	1
364	"To sum the film up, ""Breeders"" is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.  "	1
365	He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  	0
366	Aside from it's terrible lead, this film has loads of other debits.  	0
367	I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.  	1
368	Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  	1
369	The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  	1
370	With the originality and freshness of the first movie now spent, this remake had little else to offer.  	1
371	However, here there was no decent acting, action or location work to balance things up.  	1
372	It failed to convey the broad sweep of landscapes that were a great part of the original.  	1
373	Generally; it just lacked imagination.  	0
374	Is it possible for a movie to get any worse than this?  	0
375	There is no plot here to keep you going in the first place.  	0
376	Beware: this is not a trashy cult movie, this is trash -period!  	0
377	Which is precisely why I am giving it such a bad review!  	1
378	Being a 90's child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.  	1
379	The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  	1
380	Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  	1
381	The characters were all funny and had the peculiarity of not having a true lead character.  	1
382	Every single character was hilarious and deserved to be called a lead.  	1
383	Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  	0
